lema,definisi_kamus,definisi_tambahan,jumlah_makna,kunci,jumlah_kunci,kunci_asal
Cetho,"Adjektiva dalam bahasa Jawa yang berarti *terang*, gamblang, dan mudah dipahami. Merujuk pada kondisi sesuatu yang disampaikan atau terlihat dengan ""jelas"" tanpa keraguan atau ambiguitas.",,1,jelas | terang | gamblang | nyata,4,mesin
Cilik,"Kata sifat yang berarti ""kecil"" dalam ukuran, dimensi, atau jumlah. Merupakan bentuk informal atau kolokial dari kata baku ""kecil"" yang umum digunakan dalam bahasa Jawa dan konteks percakapan sehari-hari.",,1,kecil | mungil,2,mesin
Crigis,"Sifat seseorang yang *banyak bicara*, suka mengomel, atau cerewet secara berlebihan. Kata ini digunakan untuk menggambarkan perilaku ""cerewet"" yang cenderung menjengkelkan atau tidak bisa diam.",,1,cerewet | banyak bicara | bawel | mengomel,4,mesin
Dalem,"Kata afirmatif dalam bahasa Jawa *halus* (Krama) yang digunakan sebagai respons untuk mengiyakan panggilan atau perintah, setara dengan ""iya"" atau ""ya"" dalam bahasa Indonesia.  Diucapkan terutama kepada orang yang lebih tua, namun juga lazim digunakan antar teman sebaya dalam konteks sopan.","Kata ganti orang pertama tunggal dalam bahasa Jawa halus (Krama), setara dengan ""saya"" dalam bahasa Indonesia. Digunakan penutur untuk merendahkan diri di hadapan orang yang dihormati, misalnya pada *dalem badhe tindak* 'saya hendak pergi'. | Nomina dalam bahasa Jawa halus (Krama) yang berarti rumah atau kediaman, khususnya tempat tinggal orang yang dihormati atau kalangan bangsawan. Muncul antara lain pada sebutan *dalem ageng* untuk bangunan utama kediaman.",3,iya | ya | saya | rumah | kediaman,5,mesin
Dateng,"Kata depan yang berfungsi untuk menunjukkan ""tujuan"" atau arah pergerakan ke suatu tempat atau kepada seseorang.","Verba dalam bahasa Jawa halus (Krama), bentuk baku ""dhateng"", yang menyatakan perbuatan datang atau tiba di suatu tempat. Padanan Ngoko-nya ""teka"", seperti pada *sampun dhateng* 'sudah datang'.",2,ke | kepada | menuju | datang | tiba,5,mesin
Dong opo ora,"Ungkapan tanya dalam bahasa Jawa yang berarti *""Paham tidak?""* atau *""Mengerti tidak?""*, digunakan untuk memastikan pemahaman lawan bicara setelah suatu penjelasan atau pernyataan disampaikan. Ungkapan ini dapat bersifat netral maupun mengandung tekanan emosional, tergantung konteks dan intonasi penuturnya.",,1,paham tidak | mengerti tidak | paham | mengerti | bisa atau tidak,5,penutur
Dudu,"Kata ""negasi"" yang digunakan dalam bahasa Jawa untuk menyangkal nomina, frasa nominal, atau predikat yang bersifat nominal.",,1,bukan,1,mesin
Embuh,"Kata seru dalam bahasa Jawa yang menyatakan *ketidaktahuan* atau ketidakmengertian pembicara terhadap suatu hal, situasi, atau pertanyaan. Setara dengan ""tidak tahu"" dalam bahasa Indonesia.",,1,tidak tahu | entah | entahlah | tidak mengerti,4,mesin
Endog,"Kata dalam bahasa Jawa Ngoko yang merujuk pada ""telur"", yaitu benda bulat yang dihasilkan oleh hewan betina, terutama unggas seperti ayam, bebek, atau burung, yang mengandung bakal anak atau dimanfaatkan sebagai bahan pangan.",,1,telur,1,mesin
Entek,"Kata dalam bahasa Jawa yang bermakna *habis*, *tandas*, atau tidak tersisa sama sekali. Digunakan untuk menyatakan kondisi suatu benda, bahan, atau sumber daya yang telah *sepenuhnya* terkuras atau tidak ada lagi.",,1,habis | tandas | ludes | tidak tersisa,4,mesin
Gangsal,"Bilangan asli yang bernilai *lima* dalam sistem numerasi bahasa Jawa, digunakan dalam konteks percakapan sehari-hari maupun tradisi budaya Jawa.",,1,lima,1,mesin
Geger,"Bagian tubuh manusia atau hewan yang terletak pada sisi posterior atau belakang, membentang dari leher hingga pinggang. Istilah ""geger"" merupakan bentuk kosakata dalam bahasa Jawa yang mengacu pada struktur anatomi ""punggung"".","Keadaan huru-hara: keributan, kegemparan, atau kerusuhan yang membuat banyak orang gaduh dan panik. Dipakai baik untuk peristiwa sehari-hari, seperti *desane geger* 'desanya heboh', maupun untuk peristiwa sejarah seperti Geger Pacinan.",2,punggung | belakang | heboh | ribut | gempar | kerusuhan | keributan,7,mesin
Gentho,"Gentho merujuk pada individu yang memiliki reputasi sebagai pembuat onar, sering terlibat dalam tindakan kekerasan, atau merupakan anggota kelompok berandalan. Istilah ini sering digunakan untuk menggambarkan preman atau tukang berkelahi.",,1,preman | berandal | pembuat onar | tukang berkelahi,4,mesin
Graji,"Alat pemotong berupa bilah logam bergigi tajam yang digunakan untuk membelah atau memotong benda keras seperti kayu, besi, atau bahan bangunan lainnya. Merupakan bentuk dialek Jawa dari kata ""gergaji"" dalam bahasa Indonesia standar.",,1,gergaji,1,mesin
Iki,"Kata tunjuk untuk sesuatu yang dekat dengan pembicara atau merujuk pada hal yang sedang dibahas, setara dengan kata ""ini"" dalam bahasa Indonesia.",,1,ini,1,mesin
Inggil,"Kata ""inggil"" dalam konteks bahasa Jawa merujuk pada tingkat tertinggi dalam sistem kesopanan bahasa Jawa, yang disebut ""krama inggil"", digunakan untuk menunjukkan *penghormatan* yang sangat tinggi kepada lawan bicara atau orang yang dibicarakan.","Kata sifat dalam bahasa Jawa yang berarti tinggi atau berada di sebelah atas, dipakai untuk menyatakan letak maupun ukuran sesuatu yang menjulang dari permukaan atau dari benda lain di bawahnya. | Secara kiasan menyatakan kedudukan atau martabat yang tinggi dan luhur, yaitu tingkat tertinggi dalam suatu susunan derajat, seperti terlihat pada pemakaiannya untuk menyebut lapisan tutur paling halus.",3,tinggi | luhur | atas | tingkat tertinggi | penghormatan,5,mesin
Isuk,Satuan waktu yang merujuk pada masa awal hari atau periode setelah matahari terbit hingga menjelang siang hari.,,1,pagi | pagi hari | waktu pagi,3,mesin
Jalaran,"Sebuah kata penghubung atau *konjungsi kausalitas* yang berfungsi untuk menunjukkan alasan, penyebab, atau titik awal terjadinya suatu peristiwa. Kata ini secara langsung menghubungkan situasi akibat dengan sumber pemicunya, bermakna serupa dengan ""karena"" atau ""sebab"".",,1,karena | sebab | lantaran | alasan | penyebab,5,mesin
Janganan,"Kata dalam bahasa Jawa Ngoko yang merujuk pada ""sayuran"" atau segala jenis tumbuhan yang digunakan sebagai bahan masakan, mencakup berbagai jenis `janganan` seperti bayam, kangkung, kacang panjang, dan sejenisnya. Istilah ini lazim digunakan di wilayah Jawa Tengah, khususnya di daerah Semarang, Demak, dan sekitarnya.",,1,sayuran | sayur | sayur-mayur | sayur mayur,4,mesin
Jeblos,"Kata kerja yang berarti ""terperosok"" atau ""jatuh"" ke dalam lubang, celah, atau tempat yang lebih rendah secara tidak sengaja.",,1,terperosok | jatuh | terjerumus | masuk,4,mesin
Jeglongan,"Istilah untuk `lubang` atau `cekungan` di permukaan tanah atau jalan yang disebabkan oleh erosi, kerusakan, atau faktor alam lainnya. Istilah ini sering kali merujuk pada kondisi jalan yang *rusak* dan berpotensi membahayakan.",,1,lubang | cekungan | lubang jalan | jalan berlubang,4,mesin
Kae,"Kata ganti penunjuk atau demonstrativa untuk benda, orang, atau keadaan yang letaknya ""jauh"" dari pembicara maupun lawan bicara. Dalam bahasa Indonesia bisa diartikan dengan ""Itu"".",,1,itu | itu di sana | yang jauh,3,mesin
Kajeng,"Kata benda dalam bahasa Jawa ragam `Krama` yang bermakna *keinginan*, maksud, atau kehendak seseorang; merupakan padanan halus dari kata Ngoko `karep`. Digunakan dalam konteks tutur formal atau sopan, khususnya ketika berbicara kepada orang yang lebih tua, lebih tinggi derajatnya, atau yang dihormati.","Kata benda dalam bahasa Jawa ragam `Krama` yang bermakna kayu, yaitu bagian keras batang pohon yang dipakai sebagai bahan bangunan, perkakas, atau kayu bakar; merupakan padanan halus dari kata Ngoko `kayu`.",2,keinginan | maksud | kehendak | niat | kayu,5,mesin
Kawulo,"Kata dalam bahasa Jawa Krama yang merujuk pada ""rakyat jelata"" atau hamba; menggambarkan lapisan masyarakat bawah yang tunduk dan patuh kepada penguasa atau raja.","Kata ganti orang pertama dalam bahasa Jawa Krama yang dipakai penutur untuk merendahkan diri di hadapan lawan bicara yang dihormati, sepadan dengan ""saya"" atau ""hamba sahaya""; lazim muncul dalam ungkapan seperti `kawula nuwun`.",2,rakyat | hamba | abdi | rakyat jelata | saya,5,mesin
Kaya dene,"Ungkapan yang berfungsi sebagai ""perumpamaan"" untuk menyatakan keserupaan antara dua hal atau kondisi, setara dengan makna ""seperti halnya"" atau ""ibaratnya"".",,1,seperti | seperti halnya | ibarat | bagaikan,4,mesin
Kebluk,"Kondisi tidur yang *sangat nyenyak* dan lelap, seolah-olah tubuh jatuh atau tenggelam sepenuhnya ke dalam tidur yang dalam. Kata ""kebluk"" menggambarkan kualitas tidur yang berat dan tidak mudah terbangun, sering dipakai untuk melukiskan seseorang yang tidur seperti tidak sadarkan diri.","Sifat orang yang gemar tidur dan sukar dibangunkan, yang menghabiskan banyak waktu untuk tidur sehingga kerap dianggap malas; sepadan dengan sebutan ""tukang tidur"" dalam bahasa Indonesia.",2,tidur nyenyak | lelap | tidur pulas | tidur berat | suka tidur | tukang tidur,6,mesin
Keluk,"Keluk merujuk pada kondisi asap tebal yang membumbung tinggi, biasanya berasal dari dapur atau tempat pembakaran. Dalam bahasa Jawa, istilah ini menggambarkan fenomena visual asap yang pekat dan melimpah, sering diucapkan dengan nada informal dalam percakapan sehari-hari.",,1,asap | asap tebal | kepulan asap,3,mesin
Kepethuk,"Kata kerja dalam bahasa Jawa yang berarti bertemu atau berjumpa dengan seseorang secara tidak sengaja; setara dengan kata `kepethuk` dalam ragam Ngoko, yang dalam bahasa Indonesia sehari-hari dikenal sebagai ""ketemu"" atau ""berpapasan"" secara kebetulan.",,1,bertemu | berjumpa | berpapasan | ketemu,4,mesin
Keplongor,"Kondisi *sangat haus*; rasa haus yang intens sehingga mendorong kebutuhan segera untuk minum. Istilah ""Keplongor"" digunakan dalam ragam nonformal bahasa Jawa, terutama di wilayah Jawa Tengah.",,1,haus | sangat haus | kehausan,3,mesin
Kiwa,"Kata keterangan posisi atau arah yang merujuk pada sisi tubuh yang berlawanan dengan kanan. Dalam tingkatan bahasa *Ngoko*, istilah ini digunakan untuk menunjukkan letak geografis, orientasi spasial, atau bagian tubuh manusia yang berada di sebelah kiri. Dibaca ""Kiwo"".",,1,kiri | sebelah kiri | sisi kiri,3,mesin
Koen,"Kata ganti orang kedua dalam dialek Jawa Timuran (Suroboyoan), yang berarti *kamu* atau *kalian*, digunakan dalam ragam `ngoko` yang bersifat akrab atau setara secara sosial.",,1,kamu | kalian | engkau | kau,4,mesin
Kowe,"Kata ganti orang kedua tunggal dalam ragam bahasa Jawa ""ngoko"", digunakan untuk menyapa atau merujuk kepada lawan bicara yang memiliki hubungan akrab, sebaya, atau *lebih rendah* dalam hierarki sosial.",,1,kamu | engkau | kau | anda,4,mesin
Kula,"Kata ganti orang pertama tunggal dalam ragam bahasa Jawa ""krama"" (tingkat tutur halus), digunakan oleh penutur untuk merujuk pada diri sendiri secara sopan dan hormat kepada lawan bicara yang lebih tua atau memiliki kedudukan lebih tinggi.",,1,saya | aku | hamba,3,mesin
Kulon,"Kata penunjuk arah ""barat"" dalam sistem koordinat bahasa Jawa yang merujuk pada posisi matahari terbenam.",,1,barat | arah barat | sebelah barat,3,mesin
Kupat,"Bentuk dialek bahasa Jawa untuk menyebut ""ketupat"", yaitu makanan tradisional berbahan beras yang dibungkus dengan anyaman daun kelapa muda dan dimasak hingga padat. Pelafalan `kupat` lebih mudah diucapkan oleh penutur Jawa karena penyesuaian fonetis terhadap bunyi vokal.",,1,ketupat,1,mesin
Lanang,"Kata dalam bahasa Jawa yang merujuk pada jenis kelamin atau individu berjenis kelamin ""laki-laki""; digunakan dalam ragam Ngoko sebagai padanan informal dari kata `kakung` (Krama) atau `laki-laki` dalam bahasa Indonesia.",,1,laki-laki | lelaki | pria | jantan,4,mesin
lhais,"Ungkapan khas Jawa Tengah dan Semarang yang menyatakan peringatan atau teguran dengan nuansa panik atau kekhawatiran terhadap konsekuensi suatu tindakan, setara dengan 'hayolo' atau 'awas nanti'.",,1,hayolo | hayo lho | awas nanti | peringatan | teguran,5,mesin
Likur,"Sufiks numeralia dalam bahasa Jawa yang digunakan sebagai ""akhiran puluhan"" untuk menyatakan bilangan dua puluh satu hingga dua puluh sembilan, dengan cara menggabungkan angka satuan di depannya.",,1,dua puluh | dua puluhan | angka dua puluhan | 21,4,mesin
Londo ireng,"Ungkapan pejoratif dalam tradisi lisan Jawa yang merujuk pada *pribumi* yang bertindak sebagai antek, kaki tangan, atau kolaborator kekuatan asing, khususnya pemerintah kolonial Belanda. Secara harfiah berarti ""Belanda hitam"", ungkapan ini menyindir orang asli yang mengadopsi perilaku, loyalitas, dan cara pandang penguasa asing demi kepentingan pribadi, sehingga dianggap telah mengkhianati kelompok bangsanya sendiri.",,1,antek | kaki tangan | kolaborator | pengkhianat | belanda hitam,5,mesin
Luwes,"Sifat yang menunjukkan kemudahan dalam menyesuaikan diri, kelenturan gerak, atau kehalusan budi pekerti yang tidak kaku.","Sifat orang yang pandai bergaul dan mudah diterima dalam pergaulan, luwes membawa diri dalam berbicara maupun bersikap terhadap siapa saja.",2,lentur | fleksibel | supel | gemulai | tidak kaku | mudah menyesuaikan diri | pandai bergaul,7,mesin
Mbanyol,"Bercanda atau melucu, sering bernada ringan dan *receh*; kata kerja turunan dari `banyol` yang terbentuk dengan prefiks `m-`, umum dalam ragam ""ngoko"" Jawa.",,1,bercanda | melucu | melawak | bergurau,4,mesin
Mbeling,"Sifat atau perilaku seseorang, khususnya anak-anak, yang *nakal*, *bandel*, atau sulit diatur. Kata ini merujuk pada sikap pembangkang terhadap nasihat atau perintah orang tua yang cenderung dilakukan dengan sengaja atau penuh tipu daya kecil.",,1,nakal | bandel | sulit diatur | pembangkang,4,mesin
mbesengut,"Ekspresi wajah atau sikap yang menunjukkan perasaan tidak senang, kesal, atau cemberut, biasanya digunakan dalam konteks percakapan informal di wilayah Jawa Tengah",,1,cemberut | merengut | masam | kesal | tidak senang,5,mesin
Mbok,"Kata sapaan atau sebutan yang digunakan untuk memanggil ""ibu"" atau wanita yang lebih tua, umumnya ditemukan dalam lingkungan masyarakat pedesaan Jawa.","Partikel penanda permintaan atau anjuran yang melunakkan suruhan, lazim diletakkan di awal kalimat dan kerap berpasangan menjadi ""mbok ya"". Dalam bahasa Indonesia arti ini sepadan dengan ""sebaiknya"" atau ""hendaknya"".",2,ibu | emak | mak | wanita tua | sebaiknya | hendaknya,6,mesin
Mboten,"Kata keterangan penolakan atau negasi dalam tingkatan bahasa *Krama* yang berarti ""tidak"". Kata ini berfungsi untuk menyangkal suatu pernyataan, keadaan, atau tindakan dengan nuansa santun dan hormat kepada lawan bicara. Merupakan bentuk formal dari kata `ora` dalam tatanan linguistik Jawa.",,1,tidak | bukan | tak,3,mesin
Meh,"Kata keterangan yang menunjukkan *kondisi hampir terjadi* atau *mendekati suatu keadaan*, biasanya digunakan dalam konteks percakapan informal",,1,hampir | nyaris | mendekati,3,mesin
Mekaten,"Kata keterangan yang menunjukkan keadaan atau cara yang berarti ""demikian"" atau ""begitu"" dalam tingkatan bahasa Jawa yang paling halus.",,1,demikian | begitu | seperti itu,3,mesin
Mendoan,"Panganan khas dari wilayah Banyumas, Jawa Tengah, berupa tempe yang diiris tipis, dibalut adonan tepung berbumbu, kemudian digoreng sebentar hingga ""setengah matang"".",,1,tempe goreng | gorengan tempe | tempe tepung | gorengan | sayuran,5,penutur
Meneh,"Kata keterangan dalam dialek Jawa yang bermakna *lagi* atau *kembali*, digunakan untuk menyatakan pengulangan suatu tindakan atau keadaan yang terjadi sekali lagi.",,1,lagi | kembali | sekali lagi,3,mesin
Menungso,"Bentuk dialek Jawa dari kata `menungso` yang berasal dari bahasa Jawa Ngoko, bermakna *manusia* atau *orang*, digunakan dalam percakapan sehari-hari terutama di wilayah Jawa Tengah dan Jawa Timur sebagai padanan informal dari kata ""manusia"" dalam Bahasa Indonesia.",,1,manusia | orang,2,mesin
Mrene,"Kata keterangan yang menunjukkan arah atau tujuan ke tempat pembicara berada, yang secara harfiah berarti ""ke sini"".",,1,ke sini | kemari | ke tempat ini,3,mesin
Mripate,"Bagian tubuh yang berfungsi sebagai indra penglihatan milik seseorang atau sesuatu yang telah disebutkan sebelumnya. Istilah ini merujuk pada ""matanya"" dalam konteks bahasa Jawa.",,1,matanya | mata | indra penglihatan,3,mesin
Muwah-muwuh,"Keadaan yang *sangat berlimpah*, berlebih-lebihan, atau melampaui batas kewajaran dalam jumlah maupun kadar; digunakan untuk menggambarkan kelimpahan yang mencolok, baik dalam hal harta, pakaian, makanan, maupun aspek kehidupan lainnya.",,1,berlimpah | melimpah | berlebihan | melampaui batas | terus bertambah | semakin banyak,6,penutur
Namung,"Kata pembatas yang menyatakan bahwa sesuatu tidak lebih dari jumlah, kondisi, atau hal yang disebutkan. Berasal dari kosakata bahasa Jawa yang bermakna *eksklusif*, membatasi ruang lingkup suatu pernyataan menjadi satu pilihan atau kondisi tunggal saja.",,1,hanya | cuma | saja | sekadar,4,mesin
Nanging,"Kata sambung yang digunakan untuk menunjukkan perlawanan atau perbedaan dalam konteks percakapan Jawa, berfungsi sebagai pengganti 'namun' atau 'akan tetapi' dalam bahasa Indonesia formal. Dalam bentuk 'ngoko lugu' atau 'ngoko alus', kata ini menunjukkan nada yang santai namun tetap menjaga kesopanan.",,1,tetapi | namun | akan tetapi,3,mesin
Ndrawasi,"Kondisi perasaan *merinding*, takut secara intens, atau diliputi rasa ngeri yang mendalam ketika menghadapi sesuatu yang menyeramkan, berbahaya, atau menegangkan. Sensasi ini bersifat fisik sekaligus emosional, sering kali memicu bulu kuduk berdiri dan perasaan `drawasi` yang sulit dikendalikan.","Kata kerja yang bermakna membahayakan atau mendatangkan celaka, dipakai untuk keadaan maupun perbuatan yang dapat menimbulkan bencana bagi orang lain. Bentuk ini diturunkan dari ""drawasi"" yang berarti bahaya atau celaka.",2,merinding | ngeri | takut | seram | membahayakan | berbahaya | mencelakakan | mendatangkan celaka | gegabah,9,penutur
Nduwur,"Menunjukkan posisi atau letak suatu benda yang berada pada ketinggian atau tempat yang lebih tegak dibandingkan titik referensi utama. Dalam konteks abstrak, istilah ini merujuk pada tingkatan, derajat, atau status sosial yang lebih mulia dan terhormat.",,1,atas | di atas | tinggi | lebih tinggi,4,mesin
Nedha,Nedha adalah istilah bahasa Jawa Kromo Madya yang berarti makan. Kata ini merupakan bentuk halus dari 'mangan' dalam bahasa Jawa ngoko dan digunakan dalam konteks percakapan yang lebih formal atau menghormati lawan bicara.,,1,makan | menyantap | bersantap,3,mesin
Ngarit,"Aktivitas *mencari dan memotong rumput* di ladang atau tepi jalan sebagai pakan ternak, khususnya sapi, kerbau, atau kambing, yang dilakukan oleh masyarakat pedesaan Jawa.",,1,mencari rumput | memotong rumput | menyabit rumput | merumput,4,mesin
Ngebaki,"Kata kerja ""ngebaki"" merupakan bentuk tidak baku yang berarti ""memenuhi"" atau ""mengisi"" suatu ruang hingga menjadi penuh.",,1,memenuhi | mengisi | memadati,3,mesin
Ngecembeng,"Kondisi air yang *menggenang* atau tergenang di suatu permukaan, biasanya setelah hujan turun. Kata ini merupakan bentuk verba aktif dalam ragam `ngoko` bahasa Jawa yang menggambarkan proses atau keadaan air yang tidak mengalir dan membentuk ""genangan"" di atas tanah atau permukaan datar.",,1,menggenang | tergenang | genangan air | air tidak mengalir,4,mesin
Ngelih,"Kondisi fisik yang ditandai dengan rasa ""sangat lapar"" atau ""perut yang kosong dan membutuhkan makanan"". Istilah ini umum digunakan dalam dialek Jawa untuk mengekspresikan kelaparan dengan cara yang lebih ekspresif dan emosional dibandingkan kata ""lapar"" standar.",,1,lapar | kelaparan | perut kosong,3,mesin
nggapleki,"Nggapleki adalah Perasaan dongkol, jengkel, kesel campur merasa dirugikan atau dipermainkan. Biasanya muncul setelah sadar telah ditipu, dikelabuhi, atau diperlakukan tidak adil. Ini biasanya dituturkan pada bahasa Jawa Semarangan.",,1,dongkol | jengkel | kesal | menyebalkan | merasa dipermainkan,5,mesin
Nggawe,"Melakukan suatu tindakan untuk menghasilkan atau menciptakan sesuatu, merupakan bentuk verba yang menyatakan proses ""membuat"" dalam konteks bahasa Jawa informal.",,1,membuat | menciptakan | menghasilkan | mengerjakan,4,mesin
nggeh,"Kata sapaan atau persetujuan dalam bahasa Jawa Krama (tingkat tutur hormat) yang berarti 'ya' atau 'iya'. Digunakan untuk menunjukkan kesopanan dan penghormatan kepada orang yang lebih tua, atasan, atau dalam situasi formal. Ekuivalen dengan 'inggih' dalam ragam Jawa halus, mencerminkan tata krama dan hierarki sosial dalam budaya Jawa.",,1,ya | iya | setuju,3,mesin
Nggoser,"Kondisi di mana ban kendaraan kehilangan traksi terhadap permukaan jalan sehingga *meleset* atau berputar tanpa kendali, umumnya terjadi saat akselerasi mendadak, pengereman keras, atau kondisi jalan licin. Dalam konteks Jawa, kata ini merujuk pada ""slip"" ban yang menyebabkan kendaraan tidak dapat bergerak maju secara efektif.",,1,selip | tergelincir | meleset | kehilangan traksi | berputar tanpa kendali,5,mesin
Nggugah,"Melakukan tindakan untuk ""membangkitkan"" atau memicu munculnya suatu perasaan, keinginan, atau kondisi tertentu dari keadaan diam atau pasif. Bisa juga berarti membangunkan seseorang dari kondisi tidur.",,1,membangkitkan | membangunkan | memicu | menggugah,4,mesin
Ngono,"Adverbia penunjuk dalam bahasa Jawa *ngoko* yang merujuk pada suatu cara, keadaan, atau perilaku yang spesifik. Kata ini berfungsi untuk menunjukkan keseragaman atau kesamaan dengan hal yang telah disebutkan atau dipahami sebelumnya dalam percakapan informal dengan makna ""begitu"" atau ""demikian"".",,1,begitu | demikian | seperti itu,3,mesin
Niku,"Kata ganti penunjuk dalam bahasa Jawa tingkatan *krama* yang digunakan untuk merujuk pada benda, keadaan, atau hal yang letaknya jauh dari pembicara namun dekat dengan lawan bicara. Kata ini berfungsi sebagai bentuk formal dari kata `kuwi` dan setara dengan kata ""itu"" dalam bahasa Indonesia.",,1,itu | hal itu,2,mesin
Ning,"Gelar sapaan atau panggilan kehormatan yang ditujukan kepada ""putri"" seorang kiai atau ulama di lingkungan pesantren.","Kata penghubung yang menyatakan pertentangan antara dua pernyataan, berupa pemendekan dari ""nanging"" dan lazim dalam ragam percakapan. Arti ini sepadan dengan ""tetapi"" atau ""namun"" dalam bahasa Indonesia.",2,putri kiai | anak perempuan kiai | gelar putri kiai | tapi | namun,5,mesin
