waktu_utc	gerbang	label	ringkasan
2026-08-01T12:28Z	recall	A/B: rerank OFF	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T12:28Z	fp	A/B: rerank OFF	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2075 | lexicon=72608
2026-08-01T12:28Z	probe	A/B: rerank OFF	pasangan=1500 | pulih_utuh=1263/1500 (84.2%) | ditandai=95.3% | saran_benar=88.3% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:96/94,hapus:97/79,substitusi:94/89,tukar:95/91 | sebab_salah=pengambilan:85,peringkat:82 | symspell_vs_dikirim=88.5%/88.3% (-0.1pp) | dibuang_kata_sah=156 | seed=0x5eed1234abcd0001
2026-08-01T12:30Z	fp	task-25: rerank OFF jadi default	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2075 | lexicon=72608
2026-08-01T12:30Z	recall	task-25: rerank OFF jadi default	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T12:31Z	wild	task-25: rerank OFF jadi default	issue_total=2483 | per_1k=16.68 | per_rule=merge:196,puebi:524,slang:290,split:72,typo:1401 | crash=0 | kalimat=10000 | kata=148839 | detik=7.5 | lexicon=72608
2026-08-01T12:58Z	fp	task-30 klitik pasang-ulang	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2075 | lexicon=72608
2026-08-01T12:58Z	recall	task-30 klitik pasang-ulang	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T12:58Z	probe	task-30 klitik pasang-ulang (gate konservatif)	pasangan=1500 | pulih_utuh=1299/1500 (86.6%) | ditandai=97.4% | saran_benar=88.9% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:98/96,hapus:98/80,substitusi:97/90,tukar:97/92 | sebab_salah=pengambilan:77,peringkat:85 | symspell_vs_dikirim=89.0%/88.9% (-0.1pp) | dibuang_kata_sah=156 | seed=0x5eed1234abcd0001
2026-08-01T13:00Z	probe	task-30/31: gate konservatif + belah klitik	pasangan=1500 | pulih_utuh=1299/1500 (86.6%) | ditandai=97.4% | saran_benar=88.9% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:98/96,hapus:98/80,substitusi:97/90,tukar:97/92 | sebab_salah=pengambilan:77,peringkat:85 | symspell_vs_dikirim=89.0%/88.9% (-0.1pp) | dibuang_kata_sah=156 | deteksi_klitik/biasa=89.6%(77)/97.8%(1423) | seed=0x5eed1234abcd0001
2026-08-01T13:01Z	probe	A/B task-30: reattach SELALU	pasangan=1500 | pulih_utuh=1299/1500 (86.6%) | ditandai=97.4% | saran_benar=88.9% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:98/96,hapus:98/80,substitusi:97/90,tukar:97/92 | sebab_salah=pengambilan:76,peringkat:86 | symspell_vs_dikirim=89.0%/88.9% (-0.1pp) | dibuang_kata_sah=156 | deteksi_klitik/biasa=89.6%(77)/97.8%(1423) | seed=0x5eed1234abcd0001
2026-08-01T13:04Z	fp	task-30 + awalan	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2075 | lexicon=72608
2026-08-01T13:04Z	recall	task-30 + awalan	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T13:04Z	probe	task-30: klitik + awalan pasang-ulang	pasangan=1500 | pulih_utuh=1314/1500 (87.6%) | ditandai=98.6% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:99/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | deteksi_klitik/biasa=93.5%(77)/98.9%(1423) | seed=0x5eed1234abcd0001
2026-08-01T13:06Z	probe	task-27/28: confidence ortografis + kalibrasi	pasangan=1500 | pulih_utuh=1314/1500 (87.6%) | ditandai=98.6% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:99/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.2%(1320)/94.3%(159) | deteksi_klitik/biasa=93.5%(77)/98.9%(1423) | seed=0x5eed1234abcd0001
2026-08-01T13:08Z	probe	task-27/28: visual_score kata utuh	pasangan=1500 | pulih_utuh=1314/1500 (87.6%) | ditandai=98.6% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:99/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.0%(1326)/96.1%(153) | deteksi_klitik/biasa=93.5%(77)/98.9%(1423) | seed=0x5eed1234abcd0001
2026-08-01T13:09Z	fp	-	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2254 | lexicon=72608
2026-08-01T13:10Z	fp	task-29: +2 kelas korpus (klitik, awalan)	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T13:12Z	fp	final task-27..31	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T13:13Z	recall	final task-27..31	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T13:13Z	wild	final task-27..31	issue_total=2555 | per_1k=17.17 | per_rule=merge:194,puebi:524,slang:290,split:72,typo:1475 | crash=0 | kalimat=10000 | kata=148839 | detik=7.5 | lexicon=72608
2026-08-01T13:13Z	probe	final task-27..31	pasangan=1500 | pulih_utuh=1314/1500 (87.6%) | ditandai=98.6% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:99/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.0%(1326)/96.1%(153) | deteksi_klitik/biasa=93.5%(77)/98.9%(1423) | seed=0x5eed1234abcd0001
2026-08-01T13:15Z	wild	-	issue_total=2555 | per_1k=17.17 | per_rule=merge:194,puebi:524,slang:290,split:72,typo:1475 | crash=0 | kalimat=10000 | kata=148839 | detik=7.7 | lexicon=72608
2026-08-01T13:16Z	wild	-	issue_total=2550 | per_1k=17.13 | per_rule=merge:195,puebi:524,slang:290,split:72,typo:1469 | crash=0 | kalimat=10000 | kata=148839 | detik=7.5 | lexicon=72608
2026-08-01T13:16Z	wild	-	issue_total=2548 | per_1k=17.12 | per_rule=merge:195,puebi:524,slang:290,split:72,typo:1467 | crash=0 | kalimat=10000 | kata=148839 | detik=7.7 | lexicon=72608
2026-08-01T13:16Z	wild	-	issue_total=2533 | per_1k=17.02 | per_rule=merge:195,puebi:524,slang:290,split:72,typo:1452 | crash=0 | kalimat=10000 | kata=148839 | detik=7.5 | lexicon=72608
2026-08-01T13:16Z	wild	-	issue_total=2483 | per_1k=16.68 | per_rule=merge:196,puebi:524,slang:290,split:72,typo:1401 | crash=0 | kalimat=10000 | kata=148839 | detik=9.0 | lexicon=72608
2026-08-01T13:17Z	wild	-	issue_total=2555 | per_1k=17.17 | per_rule=merge:194,puebi:524,slang:290,split:72,typo:1475 | crash=0 | kalimat=10000 | kata=148839 | detik=7.6 | lexicon=72608
2026-08-01T13:19Z	fp	FINAL 2026-08-01: task-24..31	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T13:19Z	recall	FINAL 2026-08-01: task-24..31	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T13:19Z	wild	FINAL 2026-08-01: task-24..31	issue_total=2555 | per_1k=17.17 | per_rule=merge:194,puebi:524,slang:290,split:72,typo:1475 | crash=0 | kalimat=10000 | kata=148839 | detik=7.6 | lexicon=72608
2026-08-01T13:19Z	probe	FINAL 2026-08-01: task-24..31	pasangan=1500 | pulih_utuh=1314/1500 (87.6%) | ditandai=98.6% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:99/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.0%(1326)/96.1%(153) | deteksi_klitik/biasa=93.5%(77)/98.9%(1423) | seed=0x5eed1234abcd0001
2026-08-01T18:36Z	fp	task-33: daftar senyap typo	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T18:36Z	recall	task-33: daftar senyap typo	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T18:37Z	wild	task-33: daftar senyap typo	issue_total=1986 | per_1k=13.34 | per_rule=merge:194,puebi:524,slang:290,split:72,typo:906 | crash=0 | kalimat=10000 | kata=148839 | detik=8.4 | lexicon=72608
2026-08-01T18:37Z	probe	task-33: daftar senyap typo	pasangan=1500 | pulih_utuh=1313/1500 (87.5%) | ditandai=98.5% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:98/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.0%(1325)/96.1%(153) | deteksi_klitik/biasa=93.5%(77)/98.8%(1423) | seed=0x5eed1234abcd0001
2026-08-01T18:44Z	wild	task-33: cuplikan berjarak (perbaikan bias alfabetis)	issue_total=1932 | per_1k=12.54 | per_rule=merge:221,puebi:519,slang:281,split:76,typo:835 | crash=0 | kalimat=10000 | kata=154079 | detik=16.9 | lexicon=72608
2026-08-01T18:55Z	fp	task-32: transformasi -in ke slang	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T18:55Z	recall	task-32: transformasi -in ke slang	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T18:55Z	wild	task-32: transformasi -in ke slang	issue_total=1933 | per_1k=12.55 | per_rule=merge:221,puebi:518,slang:303,split:76,typo:815 | crash=0 | kalimat=10000 | kata=154079 | detik=7.8 | lexicon=72608
2026-08-01T18:58Z	fp	task-32 dibatalkan (bukti tak cukup) — baseline	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T18:59Z	recall	task-32 dibatalkan (bukti tak cukup) — baseline	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T18:59Z	wild	task-32 dibatalkan (bukti tak cukup) — baseline	issue_total=1932 | per_1k=12.54 | per_rule=merge:221,puebi:519,slang:281,split:76,typo:835 | crash=0 | kalimat=10000 | kata=154079 | detik=7.1 | lexicon=72608
2026-08-01T20:49Z	doc	baseline dokumen (sebelum task-34)	dokumen=400 | kata=205613 | issue_total=3475 | per_1k=16.90 | per_rule=merge:261,puebi:832,slang:207,split:104,typo:2071 | kapital_awal_kalimat=287 (typo:239) | crash=8 | detik=13.4
2026-08-01T20:50Z	doc	-	dokumen=400 | kata=205613 | issue_total=3475 | per_1k=16.90 | per_rule=merge:261,puebi:832,slang:207,split:104,typo:2071 | kapital_awal_kalimat=287 (typo:239) | crash=8 | detik=12.6
2026-08-01T20:52Z	fp	task-34: fix panic sentence_window multibyte	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T20:52Z	recall	task-34: fix panic sentence_window multibyte	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T20:53Z	doc	task-34: fix panic sentence_window multibyte	dokumen=400 | kata=205613 | issue_total=3622 | per_1k=17.62 | per_rule=merge:270,puebi:852,slang:213,split:106,typo:2181 | kapital_awal_kalimat=304 (typo:255) | crash=0 | detik=20.0
2026-08-01T20:56Z	fp	task-34: bukti nama tingkat dokumen	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-01T20:56Z	recall	task-34: bukti nama tingkat dokumen	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T20:56Z	doc	task-34: bukti nama tingkat dokumen	dokumen=400 | kata=205613 | issue_total=3473 | per_1k=16.89 | per_rule=merge:270,puebi:852,slang:213,split:106,typo:2032 | kapital_awal_kalimat=157 (typo:108) | crash=0 | detik=11.0
2026-08-01T20:57Z	wild	task-34: bukti nama tingkat dokumen	issue_total=1932 | per_1k=12.54 | per_rule=merge:221,puebi:519,slang:281,split:76,typo:835 | crash=0 | kalimat=10000 | kata=154079 | detik=7.3 | lexicon=72608
2026-08-01T20:58Z	probe	task-34: bukti nama tingkat dokumen	pasangan=1500 | pulih_utuh=1313/1500 (87.5%) | ditandai=98.5% | saran_benar=88.8% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:99/80,substitusi:98/89,tukar:98/91 | sebab_salah=pengambilan:74,peringkat:91 | symspell_vs_dikirim=89.0%/88.8% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.0%(1325)/96.1%(153) | deteksi_klitik/biasa=93.5%(77)/98.8%(1423) | seed=0x5eed1234abcd0001
2026-08-02T09:52Z	nuance	task-26 T-26.2: nuansa vs 11 rule	terverifikasi=lewat 97.7% dari 43 | panen_unik=lewat 91.4% dari 292 | panen_baris=lewat 93.8% dari 402
2026-08-02T11:11Z	doc	T-26.3 blog pemilik repo (ragam draf)	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=29 | kata=11444 | issue_total=409 | per_1k=35.74 | per_rule=merge:12,puebi:96,slang:13,split:4,typo:284 | kapital_awal_kalimat=19 (typo:11) | crash=0 | detik=1.2
2026-08-02T11:40Z	doc	T-26.3 blog 107 dok (ragam sasaran)	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=1420 | per_1k=32.68 | per_rule=merge:45,puebi:359,slang:21,split:16,typo:979 | kapital_awal_kalimat=49 (typo:26) | crash=0 | detik=2.9
2026-08-02T11:45Z	fp	triase presisi per-rule di ragam pengguna	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-02T11:45Z	recall	triase presisi per-rule di ragam pengguna	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-02T20:27Z	fp	task-35: penyenyap Inggris lintas-rule	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-02T20:27Z	recall	task-35: penyenyap Inggris lintas-rule	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-02T20:27Z	doc	task-35: penyenyap Inggris lintas-rule	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=849 | per_1k=19.54 | per_rule=merge:33,puebi:359,slang:20,split:16,typo:421 | kapital_awal_kalimat=37 (typo:15) | crash=0 | detik=2.8
2026-08-02T20:28Z	doc	task-35: penyenyap Inggris lintas-rule	korpus=fixtures/doc-audit/documents.jsonl | dokumen=400 | kata=205613 | issue_total=2948 | per_1k=14.34 | per_rule=merge:241,puebi:853,slang:210,split:106,typo:1538 | kapital_awal_kalimat=142 (typo:93) | crash=0 | detik=11.8
2026-08-02T20:29Z	fp	task-35 lengkap	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2430 | lexicon=72608
2026-08-02T20:29Z	recall	task-35 lengkap	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-02T20:29Z	doc	task-35 lengkap: penyenyap Inggris 5 rule	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=843 | per_1k=19.40 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:421 | kapital_awal_kalimat=37 (typo:15) | crash=0 | detik=2.8
2026-08-02T20:29Z	wild	task-35 lengkap	issue_total=1846 | per_1k=11.98 | per_rule=merge:216,puebi:512,slang:277,split:76,typo:765 | crash=0 | kalimat=10000 | kata=154079 | detik=8.8 | lexicon=72608
2026-08-02T20:29Z	probe	task-35 lengkap	pasangan=1500 | pulih_utuh=1309/1500 (87.3%) | ditandai=98.0% | saran_benar=89.0% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:99/96,hapus:98/81,substitusi:98/89,tukar:98/92 | sebab_salah=pengambilan:73,peringkat:88 | symspell_vs_dikirim=89.2%/89.0% (-0.1pp) | dibuang_kata_sah=156 | kalibrasi_hi/lo=88.2%(1317)/96.1%(153) | deteksi_klitik/biasa=93.5%(77)/98.2%(1423) | seed=0x5eed1234abcd0001
2026-08-02T20:41Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=843 | per_1k=19.40 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:421 | kapital_awal_kalimat=37 (typo:15) | crash=0 | detik=2.8
2026-08-02T20:41Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=810 | per_1k=18.64 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:388 | kapital_awal_kalimat=36 (typo:14) | crash=0 | detik=3.2
2026-08-02T20:41Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=763 | per_1k=17.56 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:341 | kapital_awal_kalimat=36 (typo:14) | crash=0 | detik=2.7
2026-08-02T20:42Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=712 | per_1k=16.39 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:290 | kapital_awal_kalimat=35 (typo:13) | crash=0 | detik=2.8
2026-08-02T20:42Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=568 | per_1k=13.07 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:146 | kapital_awal_kalimat=30 (typo:8) | crash=0 | detik=2.6
2026-08-02T20:42Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=468 | per_1k=10.77 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:46 | kapital_awal_kalimat=25 (typo:3) | crash=0 | detik=2.7
2026-08-02T20:42Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=428 | per_1k=9.85 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:6 | kapital_awal_kalimat=22 (typo:0) | crash=0 | detik=3.3
2026-08-02T20:42Z	probe	-	pasangan=600 | pulih_utuh=531/600 (88.5%) | ditandai=98.0% | saran_benar=90.3% | kontrol_salah_tandai=5/600 (0.8%) | per_kelas_tandai/saran=ganda:100/96,hapus:97/86,substitusi:99/88,tukar:95/94 | sebab_salah=pengambilan:21,peringkat:36 | symspell_vs_dikirim=90.6%/90.3% (-0.3pp) | dibuang_kata_sah=53 | kalibrasi_hi/lo=89.3%(531)/100.0%(57) | deteksi_klitik/biasa=92.9%(28)/98.3%(572) | seed=0x5eed1234abcd0001
2026-08-02T20:42Z	probe	-	pasangan=600 | pulih_utuh=528/600 (88.0%) | ditandai=96.7% | saran_benar=91.0% | kontrol_salah_tandai=5/600 (0.8%) | per_kelas_tandai/saran=ganda:97/97,hapus:97/86,substitusi:98/89,tukar:93/96 | sebab_salah=pengambilan:16,peringkat:36 | symspell_vs_dikirim=91.4%/91.0% (-0.3pp) | dibuang_kata_sah=53 | kalibrasi_hi/lo=90.1%(523)/100.0%(57) | deteksi_klitik/biasa=89.3%(28)/97.0%(572) | seed=0x5eed1234abcd0001
2026-08-02T20:43Z	probe	-	pasangan=600 | pulih_utuh=513/600 (85.5%) | ditandai=92.8% | saran_benar=92.1% | kontrol_salah_tandai=5/600 (0.8%) | per_kelas_tandai/saran=ganda:92/98,hapus:96/87,substitusi:93/91,tukar:90/95 | sebab_salah=pengambilan:13,peringkat:31 | symspell_vs_dikirim=92.5%/92.1% (-0.4pp) | dibuang_kata_sah=53 | kalibrasi_hi/lo=91.2%(502)/100.0%(55) | deteksi_klitik/biasa=82.1%(28)/93.4%(572) | seed=0x5eed1234abcd0001
2026-08-02T20:43Z	probe	-	pasangan=600 | pulih_utuh=464/600 (77.3%) | ditandai=82.5% | saran_benar=93.7% | kontrol_salah_tandai=5/600 (0.8%) | per_kelas_tandai/saran=ganda:87/99,hapus:88/87,substitusi:79/93,tukar:79/98 | sebab_salah=pengambilan:4,peringkat:27 | symspell_vs_dikirim=94.1%/93.7% (-0.4pp) | dibuang_kata_sah=53 | kalibrasi_hi/lo=93.0%(445)/100.0%(50) | deteksi_klitik/biasa=67.9%(28)/83.2%(572) | seed=0x5eed1234abcd0001
2026-08-02T20:43Z	probe	-	pasangan=600 | pulih_utuh=370/600 (61.7%) | ditandai=65.5% | saran_benar=94.1% | kontrol_salah_tandai=5/600 (0.8%) | per_kelas_tandai/saran=ganda:71/99,hapus:68/85,substitusi:62/95,tukar:66/99 | sebab_salah=pengambilan:2,peringkat:21 | symspell_vs_dikirim=94.7%/94.1% (-0.5pp) | dibuang_kata_sah=53 | kalibrasi_hi/lo=93.4%(349)/100.0%(44) | deteksi_klitik/biasa=46.4%(28)/66.4%(572) | seed=0x5eed1234abcd0001
2026-08-02T20:44Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=468 | per_1k=10.77 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:46 | kapital_awal_kalimat=25 (typo:3) | crash=0 | detik=3.2
2026-08-02T20:44Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=843 | per_1k=19.40 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:421 | kapital_awal_kalimat=37 (typo:15) | crash=0 | detik=2.6
2026-08-02T20:44Z	probe	-	pasangan=600 | pulih_utuh=531/600 (88.5%) | ditandai=98.0% | saran_benar=90.3% | kontrol_salah_tandai=5/600 (0.8%) | per_kelas_tandai/saran=ganda:100/96,hapus:97/86,substitusi:99/88,tukar:95/94 | sebab_salah=pengambilan:21,peringkat:36 | symspell_vs_dikirim=90.6%/90.3% (-0.3pp) | dibuang_kata_sah=53 | kalibrasi_hi/lo=89.3%(531)/100.0%(57) | deteksi_klitik/biasa=92.9%(28)/98.3%(572) | seed=0x5eed1234abcd0001
2026-08-02T20:45Z	doc	-	korpus=fixtures/doc-audit/dokumen-blog-pemilik.jsonl | dokumen=107 | kata=43447 | issue_total=843 | per_1k=19.40 | per_rule=merge:33,puebi:353,slang:20,split:16,typo:421 | kapital_awal_kalimat=37 (typo:15) | crash=0 | detik=2.6
