lema,definisi_id,kunci,jumlah_kunci,kunci_asal,nusax_leksikon,nusax_nusawrites_teks,jv_wiktionary
Geluduk,"Bunyi ""gemuruh"" yang sangat keras di udara yang terjadi bersamaan dengan kilat atau petir.",guntur | guruh | gemuruh | kilat | petir,5,penutur,0,0,0
Gendakan,"Kata dalam ragam bahasa Jawa informal yang merujuk pada ""pacar"" atau perempuan yang memiliki hubungan dekat secara romantis dengan seseorang, terutama dalam konteks hubungan yang bersifat tidak resmi atau tersembunyi, seperti *wanita simpanan*.",selingkuhan | pacar gelap | kekasih gelap | hubungan gelap | pacar,5,penutur,0,0,0
Gondes,"Kata sapaan khas Jawa Tengah, khususnya Semarang, yang digunakan untuk memanggil teman dengan nuansa akrab dan sedikit menggoda atau bercanda. Dalam bahasa lain adalah ""Bro"", ""Bray"", ""Rek"", dan lain-lain.",bro | panggilan | gondrong | ndeso,4,penutur,0,0,0
Gremet,"Bergerak atau berjalan dengan sangat lambat, perlahan-lahan, dan hati-hati; sering diulang menjadi `gremet-gremet` untuk menekankan sifat gerak yang amat pelan namun tetap berkesinambungan hingga mencapai tujuan.",merayap | berjalan perlahan | perlahan-lahan | pelan,4,penutur,0,0,0
Kacariyos,"Bentuk pasif *krama inggil* dalam bahasa Jawa yang berarti ""diceritakan"" atau ""dikisahkan""; lazim digunakan sebagai formula pembuka narasi dalam teks sastra Jawa klasik, serat, dan babad.",diceritakan | cerita,2,penutur,0,0,0
Kaleh,"Kata dalam dialek Jawa yang bermakna *dua* atau merujuk pada kondisi bersama, seiring, dan berpasangan dalam satu kesatuan tindakan atau keberadaan.",dua,1,mesin,0,0,0
Kemecer,Reaksi fisiologis atau ekspresi spontan yang menunjukkan keinginan atau selera yang tiba-tiba muncul setelah melihat atau membayangkan sesuatu yang menggugah nafsu makan atau bernilai estetis,ingin | ngiler | ingin sekali | sangat ingin | makanan,5,penutur,0,0,0
Kesawat,"Kondisi atau keadaan seseorang yang ""terkena"" lemparan objek secara tidak sengaja atau tanpa disengaja.",terkena | terlempar | pukulan,3,penutur,0,0,0
Kesuen,"Kondisi yang *terlalu lama* atau melampaui batas waktu yang dianggap wajar, sehingga menimbulkan rasa tidak sabar atau ketidaknyamanan. Kata ini merupakan bentuk ""intensifikasi"" dari kata dasar `suwe` dalam bahasa Jawa yang berarti lama.",terlalu lama | kelamaan,2,penutur,0,0,0
klotekan,"Tradisi budaya Jawa pada bulan Ramadhan yang melibatkan pembunyian bambu untuk membangunkan sahur; secara umum, tindakan membunyikan benda tertentu.",memukul bambu | suara bambu | pukul kaleng | pukul kayu | ketukan,5,penutur,0,0,0
Kreak,"Kelompok *kriminal jalanan* yang beroperasi secara terorganisir di wilayah Jawa, khususnya dikenal karena tindakan perampokan, pembegalan, dan kekerasan terhadap pengguna jalan. Istilah ""kreak"" merujuk pada gerombolan berandal yang meresahkan masyarakat dan dianggap sebagai ancaman keamanan publik di lingkungan perkotaan maupun pedesaan.",preman | pembuat onar | berandalan jawa | jagoan,4,penutur,0,0,0
Kupret,Kata umpatan atau makian kasar dalam bahasa Jawa yang digunakan untuk mengekspresikan kekesalan atau mengumpat seseorang,umpatan | menyebalkan | kesal,3,penutur,0,0,0
Leksanani,"`Leksanani` adalah verba imperatif tingkat krama dalam bahasa Jawa yang berarti *melaksanakan*, *menjalankan*, atau merealisasikan suatu kehendak, niat, atau tugas secara halus dan penuh hormat.",melaksanakan | menjalankan | melakukan | laksanakan | kerjakan,5,penutur,0,0,0
Lidis,"Adverbia penguat dalam bahasa Jawa Ngoko yang bermakna *""habis total""* atau *""ludes sama sekali""*, digunakan untuk menegaskan bahwa sesuatu telah berakhir atau tidak tersisa sedikit pun. Kata ini lazim dipadankan dengan kata `entek` (habis) untuk membentuk frasa penguat `entek lidis`.",habis | ludes | tidak tersisa,3,penutur,0,0,0
Manahipun,"Kata benda dalam ragam ""Krama Inggil"" bahasa Jawa yang merujuk pada `manah` (hati atau pikiran) dengan sufiks posesif `-ipun` yang bermakna 'miliknya'; merupakan bentuk Krama dari kata Ngoko `atine`.",hati | hatinya | perasaan | perasaannya | pikirannya,5,penutur,0,0,0
Mleding,"Tindakan atau kondisi menonjolkan bagian pantat secara sengaja, biasanya dengan cara membungkukkan badan atau memposisikan tubuh sedemikian rupa sehingga bagian belakang tubuh tampak menonjol ke luar. Kata ini termasuk dalam register `ngoko` bahasa Jawa dan umumnya digunakan dalam konteks percakapan sehari-hari yang bersifat santai atau teguran.",pantat | menonjolkan | tubuh,3,penutur,0,0,0
Ndaut,Kegiatan mencabut bibit padi dari lahan persemaian yang sudah siap untuk kemudian dipindahkan ke area penanaman utama (sawah).,mencabut | bibit padi,2,penutur,0,0,0
Ndlogok,"Kata umpatan dalam bahasa Jawa yang bermakna *bodoh* atau tidak mampu berpikir dengan baik, digunakan untuk mengekspresikan rasa frustrasi, kekecewaan, atau cemoohan terhadap seseorang yang dianggap tidak cerdas atau tidak kompeten. Kata ini tergolong ""umpatan kasar"" yang lazim digunakan dalam percakapan sehari-hari masyarakat Jawa masa kini.",umpatan kasar | bodoh,2,penutur,0,0,0
ndusel,Kata dalam bahasa Jawa yang berarti mendorong atau menyodorkan sesuatu dengan lembut atau perlahan. Bisa juga memiliki maksud menggesekan anggota badan ke orang lain.,merapatkan | menggesekkan anggota badan | tubuh,3,penutur,0,0,0
Ngeliwet,"Aktivitas *memasak nasi* dengan cara tradisional Jawa, yaitu menanak nasi menggunakan `liwet` (metode memasak nasi langsung di dalam panci atau kuali dengan air dan bumbu tertentu hingga air habis terserap), sering dilakukan secara bersama-sama sebagai kegiatan sosial yang bernilai budaya tinggi.",memasak nasi | nasi | menanak nasi,3,penutur,0,0,0
Ngleketer,"Kondisi tidur yang *sangat nyenyak* dan pulas, di mana seseorang tampak tidak bergerak sama sekali, seolah-olah terlelap sangat dalam tanpa gangguan apapun. Kata ini digunakan dalam ragam bahasa Jawa Ngoko untuk menggambarkan kualitas tidur yang ""luar biasa"" dalam.",nyenyak | tidur,2,penutur,0,0,0
Ngriki,"Kata keterangan tempat yang merujuk pada posisi pembicara atau lokasi saat ini dalam tingkatan bahasa Jawa halus. Istilah ini secara harfiah berarti ""disini"".",sini | di sini | ke sini,3,penutur,0,0,0
Pakunjaran,"Tempat penahanan resmi yang digunakan untuk mengurung individu yang telah terbukti atau diduga melakukan tindak pidana, sehingga kebebasan geraknya dibatasi oleh negara dalam jangka waktu tertentu sesuai putusan hukum. Istilah ini merupakan bentuk kosakata Jawa yang merujuk pada konsep ""penjara"" dalam sistem peradilan pidana.",penjara | tahanan,2,penutur,0,0,0
Pangrasan,"Sesuatu yang dirasakan secara batin atau hati; kepekaan emosional atau intuisi yang mendalam terhadap situasi atau perasaan orang lain, sering kali muncul tanpa kata-kata. Dalam konteks Jawa, merujuk pada *perasaan* yang tidak terucap namun terasa kuat dalam jiwa.",perasaan | firasat,2,penutur,0,0,0
Pecetan,"Hidangan atau makanan ringan yang disajikan kepada tamu atau peserta setelah acara ""pengajian"" atau kegiatan keagamaan selesai, merupakan tradisi khas masyarakat Jawa Tengah sebagai bentuk ungkapan syukur dan keramahan tuan rumah.",hidangan | pengajian | makanan ringan,3,penutur,0,0,0
Pimen,"Bentuk tidak baku atau slang dari kata tanya ""bagaimana"" dalam bahasa Jawa, khususnya dialek Banyumasan (Ngapak). Digunakan untuk menanyakan ""cara"" atau ""keadaan"".",bagaimana,1,mesin,0,0,0
Sasmito,"Nama diri dalam tradisi Jawa yang bermakna *""pertanda""* atau *""isyarat""*, berasal dari akar kata `sasmita` dalam bahasa Sanskerta dan Jawa Kuna yang merujuk pada tanda, sinyal, atau petunjuk halus yang mengandung makna tersembunyi.",pertanda | tanda | isyarat | firasaat,4,penutur,0,0,0
Sedelat,"Sebuah *adverbia* penunjuk waktu yang menyatakan durasi yang sangat singkat atau tidak lama. Kata ini berfungsi sebagai penanda aspek temporal untuk menunjukkan suatu jeda pendek atau kondisi segera dalam konteks dialek Banyumasan sebagai padanan kata ""sebentar"".",sebentar | sekejap,2,penutur,0,0,0
Semribit,"Kata sifat dalam bahasa Jawa yang menggambarkan kondisi *hembusan angin* yang bertiup secara perlahan, lembut, dan membawa rasa sejuk atau segar, terutama dirasakan pada waktu pagi hari atau sore hari di ruang terbuka.",hembusan angin | angin | sepoi-sepoi,3,penutur,0,0,0
Sirtu,"Singkatan teknis dari ""pasir"" dan ""batu"", merujuk pada material campuran agregat kasar dan halus yang digunakan sebagai lapisan pondasi dalam konstruksi bangunan atau pengerasan jalan.",pasir | batu | material,3,penutur,0,0,0
sompret,"Kata kasar dalam bahasa Jawa untuk mengumpat atau mengekspresikan kejengkelan, serupa dengan 'sialan' atau 'brengsek'",sialan | umpatan | menyebalkan,3,penutur,0,0,0
Speleng,"Kondisi mekanis pada ""kemudi"" kendaraan yang memiliki celah bebas atau jarak main berlebih sebelum roda benar-benar bergerak, sering disebut sebagai ""speleng"".",toleransi | kelonggaran | kemudi | celah bebas | jarak bebas,5,penutur,0,0,0
Urugan,"Material berupa campuran ""tanah"", ""pasir"", atau ""batu"" yang digunakan untuk menimbun atau meninggikan suatu area. Istilah ini seringkali merujuk pada bahan pengisi untuk konstruksi atau perataan lahan.",tanah | menutup | menimbun | timbunan,4,penutur,0,0,0
